Смартфон Samsung Galaxy A16 8/256GB Gray,26 666,https://static.eldorado.ru/img1/p/b/614744004.jpg/resize/180x180/,Эльдорадо,/cat/detail/smartfon-samsung-galaxy-a16-8-256gb-gray-590447416/
Смартфон Samsung Galaxy A56 8/128GB Pink,34 990,https://static.eldorado.ru/img1/p/b/287544004.jpg/resize/180x180/,Эльдорадо,/cat/detail/smartfon-samsung-galaxy-a56-8-128gb-pink-590445782/
Смартфон Samsung Galaxy A56 8/128GB Pink,34 990,https://static.eldorado.ru/img1/p/b/478544004.jpg/resize/180x180/,Эльдорадо,/cat/detail/smartfon-samsung-galaxy-a56-8-128gb-pink-590445874/
Смартфон Samsung Galaxy A56 8/256GB Pink,38 990,https://static.eldorado.ru/img1/p/b/687544004.jpg/resize/180x180/,Эльдорадо,/cat/detail/smartfon-samsung-galaxy-a56-8-256gb-pink-590445786/
Смартфон vivo Y28 8/256GB Розовое золото,14 999,https://static.eldorado.ru/img1/b/bb/653544003.jpg/resize/180x180/,Эльдорадо,/cat/detail/smartfon-vivo-y28-8-256gb-rozovoe-zoloto/
Смартфон Tecno Camon 40 8/256GB Black,19 999,https://static.eldorado.ru/img1/b/bb/477644004.jpg/resize/180x180/,Эльдорадо,/cat/detail/smartfon-tecno-camon-40-8-256gb-black/
Смартфон Honor X9c 8/256GB Titanium Black,26 999,https://static.eldorado.ru/img1/p/b/250014004.jpg/resize/180x180/,Эльдорадо,/cat/detail/smartfon-honor-x9c-8-256gb-titanium-black/
Смартфон Honor X9c 8/256GB Green (5109BMFL),26 999,https://static.eldorado.ru/img1/p/b/450014004.jpg/resize/180x180/,Эльдорадо,/cat/detail/smartfon-honor-x9c-8-256gb-green-5109bmfl/
Смартфон realme 14 Pro 8/256GB Grey,29 999,https://static.eldorado.ru/img1/p/b/163424004.jpg/resize/180x180/,Эльдорадо,/cat/detail/smartfon-realme-14-pro-8-256gb-grey-590424361/
Смартфон realme 14 Pro+ 8/256GB White,34 999,https://static.eldorado.ru/img1/p/b/204624004.jpg/resize/180x180/,Эльдорадо,/cat/detail/smartfon-realme-14-pro-8-256gb-white/
Оперативная память Crucial Basics CB8GU3200 DDR4 -  1x 8ГБ,4990₽,https://cdn.citilink.ru/-spSBJ_bimsp2B4rvxGeiFYaCiewA0YfpE1nMdyTgg0/resizing_type:fit/gravity:sm/width:220/height:220/plain/product-images/0af3293b-e9b5-4f4e-8c84-e9cb57948e51.jpg,Ситилинк,https://www.citilink.ru//product/pamyat-ddr4-8gb-3200mhz-crucial-cb8gu3200-basics-rtl-pc4-25600-cl22-so-2121784/
Оперативная память Crucial Basics CB8GS3200 DDR4 -  1x 8ГБ,4990₽,https://cdn.citilink.ru/ToUgifu1n-AbmuBum2TW1s3V6c9Zgj-WuB8ihznvQL8/resizing_type:fit/gravity:sm/width:220/height:220/plain/product-images/1559614b-eeee-46b1-9d79-859a3bef1ce4.jpg,Ситилинк,https://www.citilink.ru//product/pamyat-ddr4-8gb-3200mhz-crucial-cb8gs3200-basics-rtl-pc4-25600-cl22-so-2114397/
Оперативная память Crucial CT8G56C46U5 DDR5 -  1x 8ГБ,9990₽,https://cdn.citilink.ru/GU2xl7AaK7RfTB3FHv4erb_pDLyg3Lgw8opbMxMl5XQ/resizing_type:fit/gravity:sm/width:220/height:220/plain/product-images/85e3773c-2935-4088-870a-2a1b9b7f2729.jpg,Ситилинк,https://www.citilink.ru//product/pamyat-ddr5-8gb-5600mhz-crucial-ct8g56c46u5-rtl-pc5-44800-cl46-dimm-28-2104302/
Оперативная память Crucial CT8G48C40U5 DDR5 -  1x 8ГБ,7990₽,https://cdn.citilink.ru/jqGMmVq-muO5Q0oh-2OTX7gAWrbqgHW59rT1oMuprHI/resizing_type:fit/gravity:sm/width:220/height:220/plain/product-images/8ecd0d22-29dc-42e2-894c-ba6bf77c0c24.jpg,Ситилинк,https://www.citilink.ru//product/pamyat-ddr5-8gb-4800mgc-crucial-ct8g48c40u5-rtl-pc5-38400-cl40-udimm-1619158/
"Компьютер  HP Pro 290 G9 SFF Intel  Core i5  13400,  DDR4 8ГБ, 512ГБ,  FreeDOS 3.0,  черный",65 030₽,https://cdn.citilink.ru/JSfKR_M0b-ff2mCnt3V7N3gQBkt9ms3xULPOkBDjSSM/resizing_type:fit/gravity:sm/width:220/height:220/plain/product-images/b5cbba5e-2cbf-4d94-a076-7705bd0a449b.jpg,Ситилинк,https://www.citilink.ru//product/pk-hp-290-g9-sff-i5-13400-8gb-ssd512gb-dos3-0-kbnorus-m-kb-chernyi-2008687/
